"","text","favoriteCount","created","truncated","id","statusSource","screenName","retweetCount","isRetweet"
"68","<U+00A1>Puerto Rico! Hoy es tu d<U+00ED>a de ir a votar por Hillary. Comparte esto y d<U+00E9>jale saber a tus amigos: #EstoyConElla. https://t.co/0hjWISk8uR",2125,2016-06-05 17:04:43,FALSE,"739503226987372544","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",853,FALSE
"69","""Two years ago, my son was killed by a mass shooter. I’ve never spoken about it publicly until now."" —Caryn Michaels https://t.co/2GrJCLXhmW",2068,2016-06-05 17:59:40,FALSE,"739517058241724416","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1094,FALSE
"70","Urnas en Puerto Rico cierran a las 3pm. Si llegas a la fila en o antes de las 3pm tienes el derecho a votar. No te salgas.",1082,2016-06-05 18:27:36,FALSE,"739524085730975748","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",456,FALSE
"71","A preview of President @realDonaldTrump that proves we can’t let him anywhere near the Situation Room. https://t.co/iCrVAYDNB0",1814,2016-06-05 19:10:30,FALSE,"739534883291332609","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",918,FALSE
"72","The president's job is to take care of our men and women in uniform—while they serve and when they come home. https://t.co/gPhnoWzS63",2981,2016-06-05 19:54:05,FALSE,"739545851350122496","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1190,FALSE
"73","As we begin Ramadan, I wish all Muslims a blessed time of reflection, family, and good health. Ramadan Mubarak. -H",13886,2016-06-05 21:35:58,FALSE,"739571492028092416","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",8015,FALSE
"74","""We must stand against hate wherever it rears its ugly head."" —Hillary in 2000
https://t.co/qyhdZysMmH",4249,2016-06-05 23:03:36,FALSE,"739593541874159620","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1801,FALSE
"75","We just won Puerto Rico! <U+00A1>Gracias a la Isla del Encanto por esta victoria! https://t.co/D2szaqU3fS",7791,2016-06-06 01:46:10,FALSE,"739634455145553924","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",2921,FALSE
"76",".@realdonaldtrump's bigoted comments about a Latino judge are so disgusting, even other Republicans are offended.
https://t.co/3CEBq2jsDh",10391,2016-06-06 12:04:25,FALSE,"739790041497501696","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",6747,FALSE
"77","Donald Trump should come out of the towers he names after himself and actually talk and listen to people. https://t.co/PmWTePt3C0",9265,2016-06-06 15:54:57,FALSE,"739848057559351296","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",2931,FALSE
"78","72 years after #DDay, let's not just eulogize the brave men who gave their lives. Let's honor them by defending the values they fought for.",4651,2016-06-06 16:38:57,FALSE,"739859132380008448","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1698,FALSE
"79","""Hillary Clinton is the better candidate to take on Trump"" —@latimes https://t.co/0OmE5v8IK7",2453,2016-06-06 17:54:11,FALSE,"739878064730046464","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",976,FALSE
"80","33,000 people die from gun violence each year.
 
We can save a lot of these lives.
https://t.co/5HjNZxPvZ1",3289,2016-06-06 19:11:37,FALSE,"739897550963015680","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1574,FALSE
"81","""Nobody's going to be left in this country that he's exempted from insults."" —Hillary on Trump in California: https://t.co/M66GAOEeal",2203,2016-06-06 19:54:28,FALSE,"739908334560681984","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1060,FALSE
"82","There's only one candidate who can step into the Oval Office and lead on day one. https://t.co/gJkxN4pbvF
https://t.co/cV75J39V7T",3499,2016-06-06 21:16:42,FALSE,"739929029411672064","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1370,FALSE
"83","RT @billclinton: I’ve taken over @HillaryClinton's Snapchat, encouraging voters to support her in the CA primary. Add: https://t.co/ay8QEUy…",0,2016-06-06 22:30:03,FALSE,"739947488631762944","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",970,TRUE
"84","Recuerda apoyar a Hillary ma<U+00F1>ana con tu voto. RT esto y d<U+00E9>jale saber a tus amigos: 
#EstoyConElla https://t.co/hwloJN71uf",1543,2016-06-06 23:53:08,FALSE,"739968398977830913","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",915,FALSE
"85","Trump is intensifying his bigoted attacks on Judge Curiel's Latino heritage—and belittling his staff in the process: https://t.co/EHtmg53jyI",2049,2016-06-07 00:11:45,FALSE,"739973084040531968","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1268,FALSE
"86","We’re flattered, @AP, but we've got primaries to win. CA, MT, NM, ND, NJ, SD, vote tomorrow! https://t.co/8t3GpZqc1U",15329,2016-06-07 00:54:04,FALSE,"739983730002022400","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",10012,FALSE
"87","We are on the brink of a historic moment, but we still have work to do.

Let's keep fighting for every vote: https://t.co/tDsxrpu6EO",11078,2016-06-07 01:13:26,FALSE,"739988606970920960","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",4409,FALSE
"88","Let's finish this primary strong and head into the general election together: https://t.co/3DyAZfFyoi",4800,2016-06-07 01:20:46,FALSE,"739990452816994304","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1798,FALSE
"89","RT @billclinton: What she said.<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> Let’s have a great turnout tomorrow! https://t.co/c76EUt3RZA",0,2016-06-07 01:25:35,FALSE,"739991662936608773","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",4340,TRUE
"90","To everyone who's worked so hard, thank you. Let's go win this thing. https://t.co/T6ou2Znh9D",10254,2016-06-07 02:11:27,FALSE,"740003205166321665","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",4061,FALSE
"91","Happy birthday to a friend and mentor, Marian Wright Edelman. Your example of service inspires us all. https://t.co/waeHmuLkCi",7270,2016-06-07 02:50:45,FALSE,"740013095012212736","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1780,FALSE
"92","RT if you're ready to make history. https://t.co/1Pr9e5y5Bh",15253,2016-06-07 12:05:04,FALSE,"740152594224558080","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",13775,FALSE
"93","RT @ABCPolitics: WATCH: @NancyPelosi tells @GMA she voted for @HillaryClinton in the #CAPrimary and is ""proud to endorse her"" https://t.co/…",0,2016-06-07 12:47:14,FALSE,"740163207189430272","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1431,TRUE
"94","CA, MT, NJ, NM, ND, and SD, it's your day to head to the polls. RT this if you’re voting for Hillary. https://t.co/nu3VCKSuBz",8225,2016-06-07 14:00:13,FALSE,"740181574277287936","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",4429,FALSE
"95","Hoy es tu d<U+00ED>a de votar por Hillary. RT esto y d<U+00E9>jale saber a tus amigos: #EstoyConElla https://t.co/YMh9aZEgDX",1978,2016-06-07 14:56:14,FALSE,"740195669709860864","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HillaryClinton",1053,FALSE
